Id,Label,Popularity
Luis Fernández,Luis Fernández,1.199
Carla Campra,Carla Campra,5.148
Richard Collins-Moore,Richard Collins-Moore,2.803
Javier Pereira,Javier Pereira,2.707
Iñaki Ardanaz,Iñaki Ardanaz,1.355
Elisa Matilla,Elisa Matilla,6.502
Amy Ryan,Amy Ryan,20.072
Roberto Enríquez,Roberto Enríquez,12.67
Mamen Duch,Mamen Duch,1.024
Sara Sálamo,Sara Sálamo,4.865
Álex Angulo,Álex Angulo,3.167
Llorenç González,Llorenç González,4.597
Emilio Buale,Emilio Buale,4.554
Joan Pera,Joan Pera,1.838
Natalia Rodríguez,Natalia Rodríguez,2.173
Carmelo Gómez,Carmelo Gómez,2.55
Ploy Jindachote,Ploy Jindachote,2.023
Adam Nourou,Adam Nourou,1.426
Raudel Raúl Martiato,Raudel Raúl Martiato,1.075
Máximo Pastor,Máximo Pastor,0.988
Agustín Jiménez,Agustín Jiménez,0.608
Vicky Peña,Vicky Peña,1.341
Aurélien Recoing,Aurélien Recoing,16.184
Eudald Font,Eudald Font,4.737
Ahmad Alhamsho,Ahmad Alhamsho,0.5
Daniel Ibáñez,Daniel Ibáñez,5.37
Mario Tardón,Mario Tardón,1.338
Manuel Ojeda,Manuel Ojeda,7.746
Laura Ramos,Laura Ramos,4.16
Neda Margrethe Labba,Neda Margrethe Labba,1.052
Adolfo Fernández,Adolfo Fernández,1.712
Xavier Estévez,Xavier Estévez,0.745
Kaiet Rodriguez,Kaiet Rodriguez,1.146
Llum Barrera,Llum Barrera,2.434
Itsaso Arana,Itsaso Arana,8.432
Patrick Stewart,Patrick Stewart,59.084
Jorge Suquet,Jorge Suquet,9.044
Iñigo de la Iglesia,Iñigo de la Iglesia,0.84
Ramón Barea,Ramón Barea,5.767
Déborah François,Déborah François,8.739
Lancelot Perrin,Lancelot Perrin,0.6
Ximena Romo,Ximena Romo,12.472
Joel Bramona,Joel Bramona,0.6
Alma Jodorowsky,Alma Jodorowsky,2.791
Gloria Muñoz,Gloria Muñoz,1.788
Awkwafina,Awkwafina,38.758
Moi Camacho,Moi Camacho,0.6
Danielle Macdonald,Danielle Macdonald,11.67
Harvey Fierstein,Harvey Fierstein,9.979
Rochenda Sandall,Rochenda Sandall,5.974
Juan Carlos Aduviri,Juan Carlos Aduviri,1.4
Reg E. Cathey,Reg E. Cathey,10.199
María de Nati,María de Nati,10.355
Maria Molins,Maria Molins,2.842
Inma Cuesta,Inma Cuesta,12.964
Giulia Michelini,Giulia Michelini,8.776
Álvaro Morte,Álvaro Morte,11.99
Juan Diego,Juan Diego,3.573
Belén Fabra,Belén Fabra,5.94
Joaquín Climent,Joaquín Climent,2.649
Anne Loiret,Anne Loiret,13.672
Jone Laspiur,Jone Laspiur,1.704
Carmen Ruiz,Carmen Ruiz,3.305
Antonio Valero,Antonio Valero,6.113
Fenda Drame,Fenda Drame,0.6
Olivia Delcán,Olivia Delcán,3.201
Brays Efe,Brays Efe,4.986
Tamara Canosa,Tamara Canosa,1.569
Juan José Arjona,Juan José Arjona,0.98
Mireia Portas,Mireia Portas,1.997
Curt Hansen,Curt Hansen,0.6
Eduard Buch,Eduard Buch,2.588
Mirella Pascual,Mirella Pascual,2.065
Cassandra Ciangherotti,Cassandra Ciangherotti,5.243
Krystle Snow,Krystle Snow,1.62
Diego Boneta,Diego Boneta,22.157
Ariadna Gil,Ariadna Gil,5.275
Ana Rujas,Ana Rujas,3.486
Ilay Kurelovic,Ilay Kurelovic,1.048
Josean Bengoetxea,Josean Bengoetxea,1.987
Javier Cifrián,Javier Cifrián,0.766
Nuno Lopes,Nuno Lopes,5.126
Neus Sanz,Neus Sanz,3.625
Marina San José,Marina San José,1.4
Marina Salas,Marina Salas,4.51
Chris Warner,Chris Warner,1.435
Paco Sagarzazu,Paco Sagarzazu,2.588
Paco Tous,Paco Tous,5.028
Rosa María Sardà,Rosa María Sardà,2.685
José Ramón Argoitia,José Ramón Argoitia,1.734
Leïti Sène,Leïti Sène,1.132
David Verdaguer,David Verdaguer,4.555
Carolina Clemente,Carolina Clemente,0.6
Martiño Rivas,Martiño Rivas,8.038
Alberto López,Alberto López,1.783
Mario Casas,Mario Casas,25.454
Toni Gomila,Toni Gomila,0.6
Natalia de Molina,Natalia de Molina,5.264
Elena Anaya,Elena Anaya,22.359
Rafael Téllez,Rafael Téllez,0.6
Aitana Sánchez-Gijón,Aitana Sánchez-Gijón,12.469
Mariana Cordero,Mariana Cordero,2.152
Martín Bacigalupo,Martín Bacigalupo,0.6
Enrique Arce,Enrique Arce,19.725
Raad Rawi,Raad Rawi,2.657
Nene,Nene,1.343
Corey Johnson,Corey Johnson,14.578
Cecilia Dopazo,Cecilia Dopazo,3.524
Alicia Borrachero,Alicia Borrachero,7.838
Sergi López,Sergi López,4.546
Inma Cuevas,Inma Cuevas,6.284
Kikín Fernández,Kikín Fernández,0.6
Darko Peric,Darko Peric,5.578
José Burgos,José Burgos,0.6
Jenny Beacraft,Jenny Beacraft,0.6
Angela Cremonte,Angela Cremonte,4.43
Rupert Grint,Rupert Grint,21.085
Jim Beaver,Jim Beaver,17.034
Sira Alonso de Alarcón,Sira Alonso de Alarcón,0.5
Paloma Saavedra,Paloma Saavedra,0.6
H.D. Quinn,H.D. Quinn,0.6
Ricardo Quevedo,Ricardo Quevedo,2.324
Cristina Banegas,Cristina Banegas,2.077
Raquel Sierra,Raquel Sierra,0.6
Ana Fernández,Ana Fernández,2.788
Candela Recio,Candela Recio,0.6
Peter Nikolas,Peter Nikolas,1.96
Daniel Horvath,Daniel Horvath,1.31
Malcolm Treviño-Sitté,Malcolm Treviño-Sitté,0.6
Jose Coronado,Jose Coronado,19.803
José Manuel Seda,José Manuel Seda,1.447
Nerea Barros,Nerea Barros,2.949
Álex Gadea,Álex Gadea,2.735
Israel Elejalde,Israel Elejalde,1.742
Pere Ponce,Pere Ponce,7.126
Hopper Penn,Hopper Penn,4.77
Nathalie Emmanuel,Nathalie Emmanuel,44.998
Carla Tous,Carla Tous,4.606
Leonardo Sbaraglia,Leonardo Sbaraglia,13.418
Nico Romero,Nico Romero,3.39
Carmen Gutiérrez,Carmen Gutiérrez,1.214
Patrick Warburton,Patrick Warburton,29.736
Carlos Blanco,Carlos Blanco,2.983
Thierry Henry,Thierry Henry,10.948
Alba Flores,Alba Flores,18.217
Michael Kelly,Michael Kelly,19.214
Miguel de Lira,Miguel de Lira,1.674
Jorge Kent,Jorge Kent,2.296
David Tennant,David Tennant,27.359
Trey McCurley,Trey McCurley,1.838
Claudia Riera,Claudia Riera,2.846
Verónica Perrotta,Verónica Perrotta,1.613
Yon González,Yon González,9.731
Julia Carnero,Julia Carnero,1.528
María Onetto,María Onetto,3.461
Rodolfo Sancho,Rodolfo Sancho,6.332
Alistair McGowan,Alistair McGowan,7.278
Anna Moliner,Anna Moliner,3.104
Montse Pla,Montse Pla,2.962
Najwa Nimri,Najwa Nimri,15.206
Melissa McCarthy,Melissa McCarthy,19.055
Marcelo Fernández Borsari,Marcelo Fernández Borsari,0.6
Nacho Fresneda,Nacho Fresneda,2.608
Roger Casamajor,Roger Casamajor,2.501
Milo Taboada,Milo Taboada,6.157
Fernán Mirás,Fernán Mirás,5.621
Iñaki Mur,Iñaki Mur,2.022
Blanca Suárez,Blanca Suárez,9.738
Martina Stoessel,Martina Stoessel,8.129
Alex O'Dogherty,Alex O'Dogherty,1.51
Jorge Perugorría,Jorge Perugorría,3.015
Lucía Díez,Lucía Díez,6.247
Alyson Leigh Rosenfeld,Alyson Leigh Rosenfeld,1.244
Ralf Little,Ralf Little,9.23
Nonna Cardoner,Nonna Cardoner,1.396
Luisana Lopilato,Luisana Lopilato,6.521
Miquel Fernández,Miquel Fernández,4.008
Isa Montalbán,Isa Montalbán,3.075
Sarah Natochenny,Sarah Natochenny,7.899
Josephine Berry,Josephine Berry,5.262
Mónica Cruz,Mónica Cruz,6.091
Santiago Meléndez,Santiago Meléndez,1.321
Julian Sands,Julian Sands,18.15
Ernesto Alterio,Ernesto Alterio,9.085
Mercedes Lambre,Mercedes Lambre,7.861
Adèle Exarchopoulos,Adèle Exarchopoulos,38.67
Leónidas Chiri,Leónidas Chiri,0.802
Kiti Mánver,Kiti Mánver,8.149
Silma López,Silma López,5.215
Youssef Kerkour,Youssef Kerkour,16.16
Felipe García Vélez,Felipe García Vélez,2.43
Jon Kortajarena,Jon Kortajarena,10.744
Xosé Antonio Touriñán,Xosé Antonio Touriñán,0.6
Josep Maria Pou,Josep Maria Pou,4.471
Jake Gyllenhaal,Jake Gyllenhaal,39.607
Abel Folk,Abel Folk,8.746
Jamie Bamber,Jamie Bamber,13.092
Camilla Luddington,Camilla Luddington,29.979
Luisa Gavasa,Luisa Gavasa,2.155
Pedro Miguel Martínez,Pedro Miguel Martínez,2.468
Ernesto Sevilla,Ernesto Sevilla,4.679
Julio Marticorena,Julio Marticorena,1.4
Ewan McGregor,Ewan McGregor,30.763
Shubham Saraf,Shubham Saraf,6.327
Luis Zahera,Luis Zahera,9.838
Mireia Oriol,Mireia Oriol,2.288
Emilio Gavira,Emilio Gavira,4.898
Molly Malcolm,Molly Malcolm,1.478
Oaklee Pendergast,Oaklee Pendergast,5.883
Víctor Elías,Víctor Elías,2.554
Colin Stinton,Colin Stinton,8.583
Juan Blanco,Juan Blanco,2.39
Juan Pablo Raba,Juan Pablo Raba,14.381
Malena Alterio,Malena Alterio,3.831
José María Pou,José María Pou,0.6
Dagoberto Gama,Dagoberto Gama,4.259
Manuela Couto,Manuela Couto,0.84
Pedro Alonso,Pedro Alonso,16.359
Bruna González,Bruna González,1.851
Carolina Penadés,Carolina Penadés,0.5
Dougray Scott,Dougray Scott,23.325
Odeya Rush,Odeya Rush,28.875
Rhona Mitra,Rhona Mitra,74.374
Manuela Vellés,Manuela Vellés,4.945
Iván Mendes,Iván Mendes,2.614
Gonzalo Delgado,Gonzalo Delgado,0.6
Belén Chavanne,Belén Chavanne,2.781
Alfonso Herrera,Alfonso Herrera,8.737
Joaquín Núñez,Joaquín Núñez,2.189
Nausicaa Bonnín,Nausicaa Bonnín,2.474
Leonardo Cecchi,Leonardo Cecchi,1.55
Rubén de Eguia,Rubén de Eguia,0.84
Rubén Yuste,Rubén Yuste,0.648
Bernard Hill,Bernard Hill,35.249
Pablo Cerda,Pablo Cerda,2.744
Juan Valdivia,Juan Valdivia,0.6
Beatrice Arnera,Beatrice Arnera,6.492
José Luis Marín,José Luis Marín,0.6
Danna Paola,Danna Paola,3.018
Debi Derryberry,Debi Derryberry,13.297
Berta Castañé,Berta Castañé,3.885
María Isabel Díaz,María Isabel Díaz,7.824
Norma Nivia,Norma Nivia,6.25
Teo Planell,Teo Planell,2.186
Chema Ruiz,Chema Ruiz,3.236
Amaia Aberasturi,Amaia Aberasturi,4.121
César Bandera,César Bandera,0.652
Crystal Scales,Crystal Scales,11.249
Andreas Apergis,Andreas Apergis,10.731
Anabela Teixeira,Anabela Teixeira,2.135
Mahmoud Azim,Mahmoud Azim,0.6
Taran Killam,Taran Killam,24.653
Jorge Usón,Jorge Usón,3.654
Kandido Uranga,Kandido Uranga,9.213
Marta Milans,Marta Milans,18.786
Tomás Wahrmann,Tomás Wahrmann,0.6
Jérémie Laheurte,Jérémie Laheurte,7.831
Adrián Pino,Adrián Pino,1.96
María Rodríguez Soto,María Rodríguez Soto,3.431
Jesse Williams,Jesse Williams,49.942
Alián Devetac,Alián Devetac,0.97
Marta Etura,Marta Etura,7.037
Nacho San José,Nacho San José,0.696
Bárbara Santa-Cruz,Bárbara Santa-Cruz,1.424
Marta Belenguer,Marta Belenguer,2.441
Melani Olivares,Melani Olivares,3.709
Juli Fàbregas,Juli Fàbregas,5.239
Adrián Núñez,Adrián Núñez,0.6
Felicity Jones,Felicity Jones,31.751
Ledicia Sola,Ledicia Sola,1.595
Yany Prado,Yany Prado,2.635
Stephanie Figueira,Stephanie Figueira,0.692
Candela Peña,Candela Peña,5.329
Raquel Camón,Raquel Camón,0.5
Xavi Hernández,Xavi Hernández,1.159
Pep Jové,Pep Jové,3.576
Julio Bohigas-Couto,Julio Bohigas-Couto,2.29
Mulie Jarju,Mulie Jarju,0.742
Maica Barroso,Maica Barroso,0.6
Adrià Salazar,Adrià Salazar,1.135
Txell Aixendri,Txell Aixendri,0.993
José Coronado,José Coronado,19.803
Brendan Gleeson,Brendan Gleeson,32.891
Babou Cham,Babou Cham,1.838
Tito Valverde,Tito Valverde,9.925
Tristán Ulloa,Tristán Ulloa,4.721
Josep Linuesa,Josep Linuesa,1.893
Tino Martinez,Tino Martinez,0.6
Oliver Steer,Oliver Steer,1.176
Luís Zahera,Luís Zahera,9.838
Natalia Millán,Natalia Millán,6.453
RZA,RZA,8.521
Carolina Lapausa,Carolina Lapausa,1.653
Rafael Spregelburd,Rafael Spregelburd,2.321
Daniel Currás,Daniel Currás,1.308
