Id,Label,Popularity
Annu Kapoor,Annu Kapoor,7.535
Aditi Balan,Aditi Balan,6.023
Arun Shekar,Arun Shekar,0.6
Abir Goswami,Abir Goswami,1.38
Parambrata Chattopadhyay,Parambrata Chattopadhyay,18.556
Mushtaq Khan,Mushtaq Khan,7.718
Jackie Earle Haley,Jackie Earle Haley,9.844
Niki Walia,Niki Walia,2.762
Adithya Menon,Adithya Menon,3.625
Kymsleen Kholie,Kymsleen Kholie,0.5
Sonia Mann,Sonia Mann,0.6
Sonal Kaushal,Sonal Kaushal,5.453
Kiku Sharda,Kiku Sharda,4.136
Ivan Rodrigues,Ivan Rodrigues,3.338
Neha Sargam,Neha Sargam,0.5
Anupam Kher,Anupam Kher,19.52
Mahreen Kaleka,Mahreen Kaleka,0.6
Sethu Darwin,Sethu Darwin,0.6
Shruti Sodhi,Shruti Sodhi,3.137
Tashneem Lyngdoh,Tashneem Lyngdoh,0.5
Vikas Kadam,Vikas Kadam,0.6
Virast Sandhu,Virast Sandhu,0.5
Sahil Vedoliyaa,Sahil Vedoliyaa,0.6
Taapsee Pannu,Taapsee Pannu,33.676
Padmini Kolhapure,Padmini Kolhapure,4.213
Samrat Chakrabarti,Samrat Chakrabarti,8.522
Vikas Vasistha,Vikas Vasistha,0.6
Abu Valayamkulam,Abu Valayamkulam,0.6
Siddharth Boro,Siddharth Boro,0.6
Aruna Irani,Aruna Irani,4.396
Gippy Grewal,Gippy Grewal,11.271
Lucas Till,Lucas Till,19.056
Bharat Ganeshpure,Bharat Ganeshpure,1.4
Saanve Megghana,Saanve Megghana,2.157
Priyadarshan Jadhav,Priyadarshan Jadhav,0.6
Divya Rana,Divya Rana,1.614
Esther Anil,Esther Anil,1.553
Jaideep Ahlawat,Jaideep Ahlawat,18.028
Prince Daniel,Prince Daniel,1.4
Viswanathan Sridhar,Viswanathan Sridhar,0.6
Merlvin Mukhim,Merlvin Mukhim,0.5
Akash Gopal,Akash Gopal,0.5
Kaustubh Narain,Kaustubh Narain,0.5
Alexx O'Nell,Alexx O'Nell,2.647
Harrison Ford,Harrison Ford,80.276
Neeru Bajwa,Neeru Bajwa,18.559
Elnaaz Norouzi,Elnaaz Norouzi,11.739
Master Rohan,Master Rohan,0.6
Riythvika,Riythvika,2.571
Divya Palat,Divya Palat,0.98
Shivani Raghuvanshi,Shivani Raghuvanshi,0.756
Mandakini Goswami,Mandakini Goswami,2.188
Jhilmil Hazrika,Jhilmil Hazrika,0.6
Priyanka Jawalkar,Priyanka Jawalkar,2.547
Utkarsh Mazumdar,Utkarsh Mazumdar,0.6
Prabal Panjabi,Prabal Panjabi,1.906
Meena T.,Meena T.,2.048
Anamaya Verma,Anamaya Verma,0.6
Nilu Phule,Nilu Phule,1.868
Uday Nene,Uday Nene,1.659
Hareesh Peradi,Hareesh Peradi,9.128
Harsh Mayar,Harsh Mayar,2.87
Pradhuman Singh,Pradhuman Singh,3.857
Sudheer Karamana,Sudheer Karamana,4.577
Anita Shabdeesh,Anita Shabdeesh,0.6
Sophiya Chaudhary,Sophiya Chaudhary,1.96
Himesh Reshammiya,Himesh Reshammiya,9.027
Brahm Bhardwaj,Brahm Bhardwaj,1.02
Nauheed Cyrusi,Nauheed Cyrusi,3.125
Rajat Kapoor,Rajat Kapoor,4.857
Joseph J. Terry,Joseph J. Terry,3.024
Thagubothu Ramesh,Thagubothu Ramesh,1.854
Preeti Gupta,Preeti Gupta,3.857
Umesh Shukla,Umesh Shukla,9.348
Vikram Singh,Vikram Singh,1.13
Ashok Selvan,Ashok Selvan,5.788
Aditya Roy Kapoor,Aditya Roy Kapoor,0.5
Riddhi Sen,Riddhi Sen,3.317
Shridhar Watsar,Shridhar Watsar,0.6
Lalit Tiwari,Lalit Tiwari,1.151
Sadia Khateeb,Sadia Khateeb,0.6
Rajeev Panday,Rajeev Panday,0.5
Praveena Paruchuri,Praveena Paruchuri,0.6
Nafisa Ali,Nafisa Ali,4.17
Atul Kulkarni,Atul Kulkarni,7.958
Jeffrey Chee Eng Ho,Jeffrey Chee Eng Ho,0.6
Neha,Neha,1.771
Vijay Nikam,Vijay Nikam,1.4
Thomas J. Kannampuzha,Thomas J. Kannampuzha,0.6
Harman Baweja,Harman Baweja,5.122
Abhinav Gomatam,Abhinav Gomatam,4.389
Rajendra Nath,Rajendra Nath,1.937
Jay Vithlani,Jay Vithlani,0.5
Barkha Singh,Barkha Singh,6.749
Indrajeet Soni,Indrajeet Soni,0.6
K.K. Raina,K.K. Raina,3.175
Vinay Sharma,Vinay Sharma,0.6
Urmila Matondkar,Urmila Matondkar,8.273
