x,y,cluster_labels,movie_titles,overview,production_countries,release_date,Doc_ID,centroid,x_centroid,y_centroid,distance_to_centroid,topic_strings
63.359188,-15.07259,44,Kavin Jay : Everybody Calm Down!,"On a mission to defy stereotypes, Malaysian stand-up comedian Kavin Jay shares stories about growing up in the VHS era with his Singapore audience.",[],2018-02-02,4062,44_centroid,65.43085,-19.475822,4.8662333,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
66.82631,-13.999035,44,Todd Glass: Act Happy,Try to keep up as comedian Todd Glass delivers rapid-fire stand-up that bounces from his heart attack to his coming out to how to eat a Kit Kat.,['United States of America'],2018-01-23,4065,44_centroid,65.43085,-19.475822,5.651771,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
63.93451,-21.422363,44,Katt Williams: Great America,The king of underground comedy takes the stage in Jacksonville with unflinching riffs on American politics and the raunchy perils of getting old.,['United States of America'],2018-01-16,4075,44_centroid,65.43085,-19.475822,2.4552085,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
68.21171,-31.644407,44,Dave Chappelle: Equanimity,"Comedy legend Dave Chappelle returns to his roots with an all-new stand-up special filmed at the Warner Theatre in Washington, D.C.",['United States of America'],2017-12-31,4090,44_centroid,65.43085,-19.475822,12.482293,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
58.507614,-30.255022,44,Todd Barry: Spicy Honey,"With bone-dry wit, stand-up comic Todd Barry dissects texting emergencies, Hitler's taste in wine, pricey soap, cheap pizza and much more.",['United States of America'],2017-12-26,4115,44_centroid,65.43085,-19.475822,12.811023,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
64.66818,-23.287086,44,Craig Ferguson: Tickle Fight,"Cheeky comic Craig Ferguson keeps it casual as he discusses '70s porn, Japanese toilets and his mildly crime-filled days as a talk show host.",['United States of America'],2017-12-05,4116,44_centroid,65.43085,-19.475822,3.8868227,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
63.925064,-28.098446,44,Brian Regan: Nunchucks and Flamethrowers,"Brian Regan takes relatable family humor to new heights as he talks board games, underwear elastic and looking for hot dogs in all the wrong places.",['United States of America'],2017-11-21,4120,44_centroid,65.43085,-19.475822,8.753115,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
53.428066,-23.174877,44,Judah Friedlander: America Is the Greatest Country in the United States,"Deadpan comic and self-proclaimed world champion Judah Friedlander performs over several nights in New York, explaining why America is No. 1.",['United States of America'],2017-10-31,4147,44_centroid,65.43085,-19.475822,12.559847,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
70.70499,-21.75234,44,Comedian,"A look at the work of two stand-up comics, Jerry Seinfeld and a lesser-known newcomer, detailing the effort and frustration behind putting together a successful act and career while living a life on the road.",['United States of America'],2002-10-25,4148,44_centroid,65.43085,-19.475822,5.7444825,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
75.66805,-12.864661,44,Jack Whitehall: At Large,"Comedian Jack Whitehall takes the stage to tell stories about drinking, drugs, a Google Maps van and his ongoing rivalry with Robert Pattinson.",['United Kingdom'],2017-10-24,4168,44_centroid,65.43085,-19.475822,12.1863785,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
63.92713,-23.604696,44,Rodney Carrington: Here Comes the Truth,"Raunchy country comic and musician Rodney Carrington jokes and sings about life in his 40s, poking fun at sex, relationships and gaining weight.",['United States of America'],2017-10-03,4204,44_centroid,65.43085,-19.475822,4.394173,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
56.895718,-15.549594,44,Joaquín Reyes: Una y no más,"Comedian and celebrity impersonator Joaquín Reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more.",[],2017-09-08,4215,44_centroid,65.43085,-19.475822,9.3948765,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
55.24899,-30.365162,44,Marc Maron: Too Real,"Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world.",['United States of America'],2017-09-05,4223,44_centroid,65.43085,-19.475822,14.907983,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
72.99408,-26.634882,44,Jeff Dunham: Relative Disaster,"Ventriloquist Jeff Dunham brings his rude, crude and slightly demented posse of puppets to Ireland for a gleeful skewering of family and politics.",['United States of America'],2017-09-12,4230,44_centroid,65.43085,-19.475822,10.414155,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
70.68428,-21.086649,44,Jerry Before Seinfeld,"Jerry Seinfeld returns to the club that gave him his start in the 1970s, mixing iconic jokes with stories from his childhood and early days in comedy.",['United States of America'],2017-09-19,4232,44_centroid,65.43085,-19.475822,5.494845,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
76.40378,-21.676435,44,Brad Paisley's Comedy Rodeo,"Country music star Brad Paisley hosts a night of music and laughs with comics Nate Bargatze, John Heffron, Jon Reep, Sarah Tiana and Mike E. Winfield.",['United States of America'],2017-08-15,4276,44_centroid,65.43085,-19.475822,11.1914215,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
64.461784,-24.96879,44,Joe Mande's Award-Winning Comedy Special,"Stand-up comic Joe Mande aims for critical adulation with this special that covers dating shows, ""Shark Tank,"" Jewish summer camp and much more.",['United States of America'],2017-07-25,4301,44_centroid,65.43085,-19.475822,5.577793,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
68.2151,-21.624683,44,D.L. Hughley: Clear,"Legendary comedian D.L. Hughley takes the stage at the Regency Ballroom in San Francisco for his new hilarious stand up special, Clear. In this uproarious performance, Hughley riffs on everything from the value of having nosy white neighbors to Colorado legalizing marijuana.",['United States of America'],2014-04-01,4303,44_centroid,65.43085,-19.475822,3.5170562,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
63.611855,-19.508463,44,Tom Segura: Completely Normal,An original stand-up comedy special written and performed by comedian Tom Segura.,['United States of America'],2014-03-15,4307,44_centroid,65.43085,-19.475822,1.8192855,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
58.66401,-28.126678,44,Hans Teeuwen: Real Rancour,"Comedian Hans Teeuwen rebels against political correctness, proclaims himself Britain's moral leader and takes on Donald Trump.",['Netherlands'],2018-07-19,4323,44_centroid,65.43085,-19.475822,10.983051,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
58.768044,-18.680534,44,Marco Luque - We are together,"Eclectic character comedian Marco Luque plays himself in this stand-up special about relationships, regional differences and his own love of movies.",[],2017-06-15,4351,44_centroid,65.43085,-19.475822,6.7100997,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
72.682205,-14.321834,44,"Oh, Hello on Broadway","Two delusional geriatrics reveal curious pasts, share a love of tuna and welcome a surprise guest in this filming of the popular Broadway comedy show.",['United States of America'],2017-06-13,4356,44_centroid,65.43085,-19.475822,8.896392,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
67.227806,-8.709611,44,Rory Scovel Tries Stand-Up for the First Time,"Comedian Rory Scovel storms the stage in Atlanta, where he shares unfocused thoughts about things that mystify him, relationships and the ""Thong Song.""",['United States of America'],2017-06-20,4357,44_centroid,65.43085,-19.475822,10.915144,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
